DATE,TICKER,fret1,fret2,fret3,fret4,fret5,fret6,fret7,fret8,fret9,fret10,fret11,fret12,roe,MKTCAP,SECTOR,B_P,E_P,roc,alpha1,alpha2,alpha3,alpha4
1/31/2014,AMT,0.007294758,0.004909783,0.020153903,0.07315613,0.003904943,0.049010891,0.044602182,-0.05040568,0.041332906,0.077025641,-0.05866108,-0.019221427,0.007045097,31918.48,40,-1.556511,-1.21652,-0.586403234,-0.232127008,-0.504516377,-0.604736542,-0.689734666
1/31/2014,AMTD,0.06976,0.015554891,-0.060382916,-0.048902821,0.033289387,0.024561404,0.030821918,0.007852613,0.011087803,0.025785418,0.033805259,-0.094746271,0.06096308,17205.93,40,-1.111814,-0.49537,-0.097173892,-0.085558952,-0.280126441,-0.217203531,-0.371314552
1/31/2014,AMZN,0.009506817,-0.071071527,-0.095833395,0.027685529,0.039129739,-0.036301496,0.083229496,-0.048961774,-0.05266096,0.10862306,-0.083540043,0.142355405,-0.795437761,164733.6,25,-1.209847,-2.45245,-0.641347502,0.046226169,-0.165497126,-1.623945133,-1.313293858
1/31/2014,AN,0.065802794,0.011208207,-0.004508736,0.078882808,0.043904146,-0.106568365,0.017441861,-0.072626728,0.13814351,0.038071953,0.016318977,-0.013077305,0.295264034,5971.251,25,0.197227,0.350326,-0.279682534,0.073283755,0.107798426,0.322795055,0.284520209
1/31/2014,ANAT,0.09125,-0.003876994,-0.005661212,0.018592652,-0.002620087,-0.045534151,0.04440367,-0.012649332,0.014946619,0.006136045,-0.004530406,-0.089445552,-0.560557666,2797.1,40,2.494477,0.322632,,-0.156184587,0.28034886,-0.118962999,0.423998294
1/31/2014,ANF,0.120124364,-0.028513752,-0.045194805,0.034004353,0.137858458,-0.090404624,0.062531774,-0.13062201,,,,,-0.429311553,2703.011,25,1.547551,0.991112,,-0.183992407,0.086829067,0.280900447,0.420010155
1/31/2014,ANSS,0.063542595,-0.07782567,-0.009218385,-0.037478705,0.032266848,0.014771828,0.056667533,-0.069249692,0.03819215,0.063136456,-0.018199234,-0.016219512,-0.216799153,7276.574,45,-0.076826,-0.461738,0.116363704,-0.282656852,-0.296101456,-0.339268354,-0.243040543
1/31/2014,AOL,-0.049913194,-0.000228415,-0.021932831,-0.152534455,0.096747519,-0.031163609,0.121141375,0.040027765,-0.031590656,0.060418103,0.000216638,-0.063244531,-0.721346382,3615.992,45,1.596373,-0.206905,,-0.23920603,0.040159179,-0.464125654,-0.013306267
1/31/2014,AON,0.063882675,-0.015420561,0.007119127,0.059613572,0.001667779,-0.063603064,0.033191086,0.005851308,-0.019048705,0.075465116,0.025300032,-0.047792791,-0.090816783,24222.32,40,-0.896712,-0.309677,0.012377808,-0.101608141,-0.258532737,-0.200246766,-0.347005573
1/31/2014,AOS,0.052520119,-0.074044266,0.016079965,0.056030796,0.004050223,-0.058087939,0.050963597,-0.036674817,0.128384095,0.010871603,0.045985537,0.053182034,-0.125597389,4993.323,20,-0.300642,-0.88214,0.102312856,-0.172815141,-0.225427558,-0.503868754,-0.35849432
1/31/2014,APA,-0.012085721,0.046159667,0.046413502,0.073963134,0.079382107,0.020274299,-0.008084941,-0.078169498,-0.177586023,-0.169818653,-0.022156343,0.002428726,-0.540757495,32042.7,10,2.030276,1.600428,-0.407519583,0.118567746,0.473866031,0.529835465,0.637297337
1/31/2014,APC,0.04300409,0.007129278,0.168239736,0.038780044,0.064262104,-0.023933498,0.05465606,-0.099831396,-0.095228707,-0.13761168,0.0423247,-0.009090764,-0.751693346,40608.61,10,0.200612,-0.093096,-0.563434269,-0.695466757,-0.660359705,-0.422394645,-0.348967728
1/31/2014,APD,0.153890051,-0.018793274,-0.012768817,0.020847515,0.072101359,0.025890219,0.009549072,-0.02274604,0.034413889,0.068097431,0.002781061,0.009568169,-0.036647838,22255.29,15,-0.280825,-0.309227,-0.151179833,0.073556851,0.024412469,-0.172937442,-0.16583694
1/31/2014,APH,0.013121547,0.041240627,0.040370977,0.004719455,0.005636743,-0.001764584,0.071124051,-0.030579555,0.013018226,0.060300514,0.00335633,-0.001857686,0.555349611,13751.46,45,-0.520759,0.039814,0.362293637,0.127430122,0.03629729,0.297581661,0.157438474
1/31/2014,APL,0.008408596,0.006794318,0.055214724,0.002616279,0.070745144,-0.01272678,0.006582556,-0.105177112,0.015895241,-0.013338273,,,-1.640191442,2658.115,10,0.624841,,-0.919204618,-0.871159167,-0.761812033,-0.820095721,-0.663885529
1/31/2014,APO,-0.008012327,-0.012115564,-0.146855346,-0.084777,0.116391462,-0.052669553,-0.07083016,-0.02295082,-0.045721477,0.074285714,-0.035188216,0.054707089,0.350037858,12166.73,40,-0.257464,2.823277,0.158468128,0.595888866,0.550832688,1.586657556,0.816472273
1/31/2014,APOL,0.032208114,0.02730273,-0.157126168,-0.071379071,0.166044776,-0.10624,-0.005728607,-0.094346417,0.139562624,0.089323098,0.092568866,-0.259454705,0.243746267,3638.663,25,0.135148,1.961462,0.624159092,0.394283977,0.417934843,1.102604255,0.646025647
1/31/2014,APU,-0.011432571,-0.002832193,0.097751479,0.021561018,-0.042000844,-0.000660939,0.020061728,-0.014047979,0.011617712,0.000866739,0.037453994,0.071995863,-0.048430131,3978.728,55,-1.312805,-0.91579,0.017566677,-0.367563418,-0.597304328,-0.482110305,-0.581363984
1/31/2014,ARCC,0.018068888,-0.022739878,-0.02553916,0.004076878,0.035962877,-0.064389698,0.026331538,-0.057725948,-0.010519802,0.02876798,-0.051367781,0.066964696,-0.284307634,5269.427,40,0.833868,1.015788,-0.283227325,0.054875274,0.200802152,0.36574012,0.320260119
1/31/2014,ARE,0.03308142,0.001518289,0.017364939,0.030750474,0.020370614,0.01236476,0.005852417,-0.067164179,0.125423729,0.035180723,0.032821229,0.098940144,-0.779196086,5009.204,40,0.189193,-1.07021,-0.676041547,-0.484533279,-0.45142452,-0.924702063,-0.609851825
1/31/2014,ARG,0.044168927,-0.011966605,-0.002347197,0.000564653,0.024360421,-0.018271968,0.032360644,0.002446095,0.00804338,0.03666846,-0.003891724,-0.022052367,0.252619986,7613.633,15,-0.636635,-0.508186,,0.014464781,-0.096946362,-0.127782818,-0.159895189
1/31/2014,ARLP,0.045631068,-0.023444754,0.106845733,-0.023408139,0.025838373,0.076312969,-0.008962358,-0.139067524,0.12254902,-0.042212518,-0.065349544,-0.075725441,1.250324682,3045.756,10,-0.779644,1.309684,1.230727447,0.617587377,0.481149707,1.280004532,0.75767248
1/31/2014,ARRS,0.108108108,-0.018118467,-0.074166075,0.269068609,-0.017517366,0.050415002,-0.104184958,-0.073668736,0.058719803,-0.008327781,0.014108163,-0.131500497,-1.266620061,3582.12,45,0.249727,-1.63272,-0.857451463,-0.742695594,-0.698993285,-1.449670644,-0.979058468
